iter	RMSE
0	58459.56362
1	46587.89581
2	39447.74453
3	34757.10994
4	31931.37808
5	28808.21852
6	27554.75307
7	26761.63049
8	26023.63561
9	24996.59415
10	23904.99702
11	22808.85823
12	22316.8237
13	21556.14224
14	20809.15745
15	20372.01149
16	19976.91944
17	19221.09162
18	18702.7887
19	18195.03338
20	17637.03317
21	17256.37091
22	16672.03575
23	16436.46527
24	16048.15577
25	15469.05221
26	15152.52562
27	14812.11643
28	14504.01758
29	14377.93336
30	14117.30816
31	13669.23226
32	13370.1241
33	12977.87076
34	12758.57319
35	12522.73502
36	12265.51995
37	12023.54297
38	11855.20844
39	11665.39603
40	11592.31046
41	11426.99499
42	11196.14319
43	11002.36526
44	10799.41789
45	10608.48102
46	10446.46109
47	10339.01506
48	10225.02249
49	10049.84596
50	9875.930771
51	9799.707759
52	9657.58966
53	9492.837892
54	9312.772109
55	9150.946081
56	8896.074071
57	8792.373382
58	8726.797501
59	8595.272267
60	8528.984143
61	8414.611929
62	8267.706885
63	8174.47272
64	8099.58656
65	7982.92493
66	7853.101567
67	7716.38265
68	7577.646087
69	7393.410252
70	7355.640548
71	7274.789715
72	7074.808254
73	6968.230749
74	6958.642492
75	6834.407014
76	6734.636443
77	6627.803937
78	6521.219019
79	6446.019235
80	6399.314282
81	6384.074217
82	6318.361984
83	6207.977891
84	6115.942755
85	6006.525991
86	5908.536854
87	5792.802366
88	5637.034202
89	5565.784436
90	5506.086592
91	5440.363282
92	5371.018027
93	5289.115588
94	5280.292212
95	5144.914135
96	5078.751214
97	5046.197235
98	4974.630312
99	4897.189476
100	4843.686217
101	4769.102949
102	4752.478203
103	4655.41358
104	4571.709544
105	4523.322961
106	4484.118599
107	4446.284288
108	4379.178323
109	4286.737279
110	4281.349257
111	4202.013157
112	4167.383526
113	4102.133986
114	4060.859687
115	4032.131883
116	4027.919076
117	4005.708551
118	3987.093767
119	3906.770616
120	3883.916377
121	3812.757907
122	3769.74349
123	3714.153473
124	3677.446533
125	3648.555187
126	3627.165701
127	3575.543822
128	3498.907269
129	3493.929029
130	3434.428947
131	3384.264476
132	3334.880329
133	3317.118558
134	3274.40672
135	3199.010846
136	3174.862392
137	3138.021814
138	3107.165714
139	3042.004867
140	3038.827554
141	3002.804728
142	2967.763205
143	2951.696174
144	2898.56705
145	2855.34008
146	2793.453075
147	2766.556996
148	2724.898536
149	2716.435422
150	2668.435355
151	2665.820361
152	2621.724878
153	2617.523458
154	2593.103601
155	2553.58639
156	2491.533779
157	2482.882679
158	2476.806939
159	2445.64793
160	2412.767048
161	2400.919499
162	2369.328448
163	2368.078974
164	2332.159383
165	2284.690648
166	2261.453354
167	2237.1845
168	2235.038249
169	2206.862916
170	2183.333414
171	2173.267666
172	2135.226723
173	2105.703285
174	2074.510556
175	2063.786308
176	2062.037743
177	2024.998684
178	1999.393633
179	1978.846278
180	1954.554025
181	1937.754264
182	1932.327938
183	1910.962409
184	1875.043879
185	1872.86048
186	1865.280631
187	1839.152923
