iter	Passed	Remaining
0	10	21806
1	18	18017
2	24	15985
3	30	15283
4	36	14390
5	41	13707
6	50	14501
7	57	14223
8	63	14083
9	68	13684
10	73	13314
11	79	13188
12	85	13025
13	90	12817
14	100	13259
15	105	13079
16	113	13215
17	118	13062
18	128	13363
19	133	13219
20	139	13139
21	145	13049
22	150	12902
23	156	12899
24	161	12756
25	166	12641
26	175	12853
27	181	12751
28	186	12655
29	192	12633
30	198	12580
31	208	12823
32	214	12783
33	222	12858
34	227	12768
35	232	12692
36	240	12756
37	248	12839
38	258	12985
39	263	12917
40	270	12920
41	275	12859
42	281	12813
43	288	12830
44	294	12775
45	298	12690
46	305	12706
47	310	12646
48	316	12591
49	326	12743
50	333	12738
51	338	12692
52	343	12625
53	349	12611
54	358	12675
55	363	12620
56	370	12644
57	375	12574
58	381	12540
59	388	12551
60	394	12531
61	403	12614
62	408	12573
63	419	12675
64	424	12637
65	432	12683
66	440	12714
67	450	12804
68	455	12753
69	461	12718
70	466	12687
71	472	12658
72	477	12611
73	483	12593
74	488	12539
75	495	12547
76	500	12503
77	505	12461
78	520	12645
79	524	12598
80	532	12603
81	536	12559
82	543	12560
83	549	12536
84	556	12543
85	568	12643
86	575	12647
87	581	12641
88	590	12672
89	600	12752
90	609	12788
91	618	12817
92	645	13246
93	652	13230
94	661	13254
95	668	13265
96	678	13313
97	684	13278
98	689	13245
99	696	13228
100	702	13205
101	712	13259
102	718	13224
103	726	13242
104	732	13217
105	742	13272
106	749	13252
107	756	13252
108	761	13214
109	767	13179
110	775	13201
111	780	13162
112	790	13201
113	796	13172
114	801	13138
115	808	13130
116	812	13082
117	823	13129
118	829	13109
119	834	13069
120	840	13058
121	845	13021
122	852	13008
123	858	12989
124	865	12984
125	873	12992
126	880	12983
127	887	12978
128	892	12946
129	897	12905
130	904	12901
131	912	12913
132	920	12923
133	925	12886
134	930	12848
135	943	12930
136	950	12924
137	957	12916
138	962	12883
139	969	12875
140	974	12843
141	979	12810
142	988	12838
143	1001	12905
144	1007	12890
145	1012	12861
146	1018	12839
147	1023	12807
148	1030	12800
149	1036	12781
150	1041	12751
151	1047	12733
152	1052	12704
153	1063	12751
154	1070	12739
155	1080	12770
156	1100	12923
157	1113	12981
158	1119	12967
159	1128	12972
160	1144	13077
161	1151	13066
162	1161	13087
163	1170	13105
164	1229	13675
165	1291	14274
166	1310	14382
167	1315	14349
168	1323	14343
169	1329	14311
170	1340	14339
171	1345	14300
172	1353	14294
173	1360	14275
174	1370	14288
175	1374	14248
176	1381	14230
177	1387	14198
178	1392	14166
179	1399	14154
180	1404	14119
181	1411	14102
182	1416	14068
183	1421	14032
184	1428	14012
185	1436	14005
186	1444	14002
187	1456	14040
188	1468	14074
189	1476	14069
190	1486	14080
191	1494	14072
192	1500	14044
193	1506	14021
194	1516	14034
195	1533	14115
196	1539	14091
197	1546	14077
198	1551	14044
199	1560	14042
200	1568	14036
201	1574	14016
202	1580	13989
203	1591	14012
204	1597	13991
205	1603	13960
206	1610	13948
207	1616	13925
208	1624	13917
209	1634	13930
210	1641	13919
211	1646	13888
212	1652	13864
213	1659	13845
214	1663	13812
215	1668	13780
216	1678	13788
217	1685	13775
218	1692	13764
219	1698	13739
220	1709	13758
221	1715	13737
222	1722	13726
223	1728	13708
224	1733	13678
225	1740	13664
226	1746	13641
227	1756	13649
228	1763	13641
229	1770	13626
230	1776	13607
